,A,host_Asite0_Heat of Vaporization,Asite_BCCvolume_pa_weighted_avg,Asite_BCCvolume_padiff_weighted_avg,Asite_At. Radius   (angstroms)_weighted_avg,Asite_n_ws^third_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Asite_Atomic Volume (cm³/mol)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_BCCenergydiff_min,Asite_GSmagmom_min,Asite_At. Radius   (angstroms)_min,Asite_shannon_radii_range,Asite_BCCefflatcnt_range,Asite_IsBoron_weighted_avg,Asite_IsHalogen_weighted_avg,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,host_Asite0_IsBCC,host_Asite0_IsCubic,host_Asite0_IsAlkali,host_Asite0_OrbitalD,host_Asite0_NsValence,Asite_IsAlkali_max
0,Ba,140.2,63.59,0.0,2.76,0.81,1.42,-1.92352226,2.22,2.76,39.24,1.61,-1.92352226,0.0,0,2.76,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,2,1
25,Ca,154.67,36.82,-0.95,2.23,0.91,1.0,-1.92725921,1.97,2.23,25.9,1.34,-1.92725921,0.021070355,0,2.23,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,1
32,Dy,230.0,31.21,-0.03,2.49,1.22,1.03,-4.45538074,1.773,2.49,19.0,1.083,-4.45538074,0.146173713,0,2.49,0.0,0.0,0,0,0.0,1.0,4.0,10.0,0,0,0,0,2,0
33,Gd,311.71,32.63,0.58,2.54,1.21,1.05,-4.51068704,1.802,2.54,19.9,1.107,-4.51068704,0.14373427,0,2.54,0.0,0.0,0,0,0.0,1.0,7.0,7.0,0,0,0,0,2,0
34,Ho,251.04,31.32,0.586666667,2.47,1.22,1.02,-4.4347242,1.766,2.47,18.7,1.12,-4.4347242,0.142692677,0,2.47,0.0,0.0,0,0,0.0,1.0,3.0,11.0,0,0,0,0,2,0
35,La,399.57,37.47,0.5725,2.74,1.18,1.16,-4.79586452,1.877,2.74,20.73,1.36,-4.79586452,0.131681665,0,2.74,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0,0,0,1,2,0
44,Mg,127.6,22.88,-0.01,1.72,1.17,0.72,-1.51367083,1.6,1.72,13.97,0.89,-1.51367083,0.02860148,0,1.72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,1
45,Nd,283.68,34.97,0.16,2.64,1.2,1.29,-4.6307523,1.821,2.64,20.6,1.27,-4.6307523,0.13159904,0,2.64,0.0,0.0,0,0,0.0,1.0,10.0,4.0,0,0,0,0,2,0
46,Pr,332.63,35.89,0.215,2.67,1.2,1.13,-4.64853984,1.828,2.67,20.8,1.2,-4.64853984,0.12529012,0,2.67,0.0,0.0,0,0,0.0,1.0,11.0,3.0,0,0,0,0,2,0
55,Sm,191.63,33.57,0.34,2.59,1.21,1.08,-4.5732413,1.802,2.59,19.95,1.24,-4.5732413,0.140138335,0,2.59,0.0,0.0,0,0,0.0,1.0,8.0,6.0,0,0,0,0,2,0
56,Sr,136.9,52.91,-1.32,2.45,0.84,1.26,-1.67793991,2.15,2.45,33.7,1.44,-1.67793991,0.00487369,0,2.45,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,1
62,Y,393.3,32.53,0.165,2.27,1.21,1.02,-6.34029752,1.81,2.27,19.8,1.075,-6.34029752,0.124302255,0,2.27,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,2,0
