,Unnamed: 0,Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,Lowest distortion
0,0,BaAlO3,Ba,Al,False,-,-,1.61,1.35,0.54,0.89,1.61,2.942998888,1.892894405,-2.207464286,1.097108975,-,0.385714286,cubic
1,1,BaCoO3,Ba,Co,False,2,4,1.61,1.35,0.53,0.89,1.88,2.942998888,1.930310969,-2.030821429,1.102793477,4.109427366,0.378571429,orthorhombic
2,2,BaCrO3,Ba,Cr,False,2,4,1.61,1.35,0.55,0.89,1.66,2.942998888,1.960053288,-2.200107143,1.091482775,3.996252933,0.392857143,orthorhombic
3,3,BaCuO3,Ba,Cu,False,-,-,1.61,1.35,0.68,0.89,1.9,2.942998888,2.005573846,-2.340214286,1.023265102,-,0.485714286,rhombohedral
4,4,BaFeO3,Ba,Fe,False,2,4,1.61,1.35,0.59,0.89,1.83,2.942998888,1.999521816,-2.187928571,1.069543423,3.809485555,0.421428571,cubic
5,5,BaGaO3,Ba,Ga,False,-,-,1.61,1.35,0.62,0.89,1.81,2.942998888,1.974643898,-2.263607143,1.053659115,-,0.442857143,cubic
6,6,BaHfO3,Ba,Hf,True,2,4,1.61,1.35,0.71,0.89,1.3,2.942998888,2.027412322,-2.749392857,1.008716309,3.511192926,0.507142857,cubic
7,7,BaIrO3,Ba,Ir,False,2,4,1.61,1.35,0.63,0.89,2.2,2.942998888,2.009082787,-2.06075,1.048468676,3.669602059,0.45,orthorhombic
8,8,BaMnO3,Ba,Mn,False,2,4,1.61,1.35,0.53,0.89,1.55,2.942998888,2.16999357,-2.220571429,1.102793477,4.109427366,0.378571429,orthorhombic
9,9,BaMoO3,Ba,Mo,True,2,4,1.61,1.35,0.65,0.89,2.16,2.942998888,1.7893,-2.126535714,1.038239713,3.615536105,0.464285714,cubic
10,10,BaNbO3,Ba,Nb,True,2,4,1.61,1.35,0.68,0.89,1.6,2.942998888,1.955055241,-2.512714286,1.023265102,3.552862825,0.485714286,cubic
11,11,BaNiO3,Ba,Ni,False,2,4,1.61,1.35,0.48,0.89,1.91,2.942998888,2.103725488,-1.906607143,1.132123091,4.459812214,0.342857143,orthorhombic
12,12,BaOsO3,Ba,Os,False,0,0,1.61,1.35,0.57,0.89,2.2,2.942998888,1.954921624,-1.932392857,1.080401732,-,0.407142857,cubic
13,13,BaPdO3,Ba,Pd,False,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.04250519,-2.039357143,1.053659115,3.700495376,0.442857143,orthorhombic
14,14,BaPtO3,Ba,Pt,False,0,0,1.61,1.35,0.67,0.89,2.28,2.942998888,2.64390067,-2.100321429,1.028208411,-,0.478571429,orthorhombic
15,15,BaReO3,Ba,Re,False,2,4,1.61,1.35,0.63,0.89,1.9,2.942998888,1.98797081,-2.23325,1.048468676,3.669602059,0.45,cubic
16,16,BaRhO3,Ba,Rh,False,2,4,1.61,1.35,0.6,0.89,2.28,2.942998888,2.001424352,-1.950571429,1.064195706,3.770356148,0.428571429,orthorhombic
17,17,BaRuO3,Ba,Ru,False,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.018753288,-2.039357143,1.053659115,3.700495376,0.442857143,cubic
18,18,BaTaO3,Ba,Ta,False,2,4,1.61,1.35,0.68,0.89,1.5,2.942998888,1.956808277,-2.570214286,1.023265102,3.552862825,0.485714286,cubic
19,19,BaTcO3,Ba,Tc,False,0,0,1.61,1.35,0.6,0.89,1.9,2.942998888,0.0,-2.169071429,1.064195706,-,0.428571429,rhombohedral
20,20,BaTiO3,Ba,Ti,True,2,4,1.61,1.35,0.61,0.89,1.54,2.942998888,1.927848949,-2.397464286,1.0589012,3.734054282,0.435714286,tetragonal
21,21,BaVO3,Ba,V,False,2,4,1.61,1.35,0.58,0.89,1.63,2.942998888,1.758039163,-2.281535714,1.074945157,3.85153481,0.414285714,orthorhombic
