,Unnamed: 0,Compound,Material Composition,energy_above_hull (meV/atom),formation_energy (eV/atom),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio
0,0,BaAlO3,Ba8Al8O24,227.4912848,-2.118311086,1.0725,3.145,8.263421376,0.22,-2.83447269,39.7,1.58,540.25,-3.5,24.62,41.0,5.599,127.7,55.17423,-0.348,-17.45,1.554758079,0.870671745,0.482118294
1,1,BaCoO3,Ba8Co8O24,124.5421108,-1.171894073,1.07,6.245,7.782558352,0.0975,-4.501955703,36.95,1.57,630.45,9.0,22.97,33.5,6.536,59.2,39.1984,-0.1085,-7.55,1.826260708,0.663456464,0.375569247
2,2,BaCrO3,Ba8Cr8O24,15.00782838,-1.809455134,1.08,5.39,7.845299661,-0.01,-5.7146194,37.4,1.58,577.85,6.0,23.235,29.0,5.989,56.05,42.667,-0.1225,-2.55,1.785576866,0.770373775,0.412960236
3,3,BaCuO3,Ba8Cu8O24,274.349274,-0.809151966,1.17,6.275,7.837715063,0.005,-2.80208854,37.3,1.575,624.15,33.15,23.17,36.5,6.469,209.7,36.937,-0.0905,-28.95,1.790398429,0.674671317,0.46655574
4,4,BaFeO3,Ba8Fe8O24,77.29127769,-1.425360856,1.122,5.732,7.80782269,0.0,-5.10450331,37.25,1.575,631.1,-14.0,23.17,32.0,6.541,49.3,40.7415,-0.1225,-4.2,1.809657419,0.662320558,0.401144492
5,5,BaGaO3,Ba8Ga8O24,278.3077818,-1.513289541,1.115,4.75,8.327153668,-0.45875,-2.467888781,41.2,1.62,540.85,-11.5,25.52,41.5,5.6055,29.5,33.8035,-0.0835,0.5,1.52471543,0.868866621,0.547527923
6,6,BaHfO3,Ba8Hf8O24,8.216444,-3.007047017,1.16,8.45,8.552280188,-0.165,-5.938910798,42.6,1.71,572.45,-26.0,26.42,27.0,5.931,20.7,-20.58,0.032,-0.3,1.427293695,0.783333333,0.212080415
7,7,BaIrO3,Ba8Ir8O24,163.2978649,-1.077299988,1.1175,13.095,8.110370469,0.21,-5.386016855,38.3,1.625,691.45,49.0,23.89,34.5,7.156,82.7,-27.445,0.037,-9.25,1.631980003,0.571477273,0.248766812
8,8,BaMnO3,Ba8Mn8O24,159.4035459,-1.534232156,1.1145,5.515,7.788699058,0.011206897,-5.472043755,37.5,1.575,610.15,-26.0,23.315,30.5,6.3235,13.11,41.196,-0.138,1.15,1.822197178,0.701003624,0.638026759
9,9,BaMoO3,Ba8Mo8O24,643.729766,-1.164179822,1.13,6.905,8.183063619,0.0,-6.384815015,39.15,1.64,593.9,22.0,24.32,29.5,6.1555,78.2,20.695,-0.023,-7.25,1.594368213,0.734267776,0.237466125
